productid,link,product_title,price,actual_price,ratings,color
341,https://www.daraz.com.np/products/laptop-acer-predator-helios-300-72ju-i7-11th-gen-16gb-1tb-ssd-rtx3060-6gb-os-i128487178.html,Laptop Acer Predator Helios 300 72JU i7 11th Gen-16GB-1TB SSD-RTX3060 6GB-OS,"Rs. 154,990","Rs. 208,000",No Ratings,Black
345,https://www.daraz.com.np/products/hp-envy-x360-i7-13th-gen-16gb-ram-512gb-ssd-14-fhd-360-touch-screen-display-i128490147.html,"HP Envy x360 i7 13th Gen 16GB RAM 512GB SSD 14"" FHD 360 Touch Screen Display","Rs. 126,490","Rs. 145,000",No Ratings,Silver
348,https://www.daraz.com.np/products/lenovo-loq-15irh8-core-i5-12450h-12th-gen-8-gb-ddr5-ram-512-gb-ssd156-fhd-144-hrzrtx-2050-4gb-gfx-backlit-keyboard-win-11-i132062957.html,"Lenovo LOQ 15IRH8 Core i5-12450H 12th Gen/ 8 GB DDR5 RAM/ 512 GB SSD/15.6"" FHD 144 Hrz/RTX 2050 4GB GFX/ Backlit Keyboard/ Win 11","Rs. 96,990","Rs. 109,800",No Ratings,Grey
351,https://www.daraz.com.np/products/msi-modern-14-b5m-laptop-amd-ryzen-7-5700u-8gb-ram-256gb-m2-nvme-ssd-14-fhd-ips-wi-fi-6-backlit-keyboard-usb-c-win-11-home-13kg-i114874935.html,"MSI Modern 14 B5M Laptop (AMD Ryzen 7 5700U | 8GB RAM | 256GB M.2 NVMe SSD | 14"" FHD IPS | Wi-Fi 6 | Backlit Keyboard | USB-C | Win 11 Home | 1.3KG)","Rs. 90,000","Rs. 116,000",No Ratings,Grey
352,https://www.daraz.com.np/products/acer-aspire-5-core-i5-1235u-12th-gen-8-gb-ram-512gb-ssd156-ipsrtx-2050-4gb-gfx-backlit-keyboard-i134909871.html,"Acer Aspire 5 Core i5- 1235U 12th Gen / 8 GB RAM/ 512GB SSD/15.6"" IPS/RTX 2050 4GB Gfx / Backlit Keyboard","Rs. 93,990","Rs. 99,990",No Ratings,Steel Gray
355,https://www.daraz.com.np/products/acer-nitro-v-15-core-i5-13420h-13th-gen-16-gb-ddr5-ram-512-gb-ssd156-fhd-144-hrzrtx-4050-6gb-gfx-backlit-keyboard-win-11-i132063373.html,"Acer Nitro V 15 Core i5-13420H 13th Gen/ 16 GB DDR5 RAM/ 512 GB SSD/15.6"" FHD 144 Hrz/RTX 4050 6GB GFX/ Backlit Keyboard/ Win 11","Rs. 124,990","Rs. 139,990",No Ratings,Black
356,https://www.daraz.com.np/products/hp-240-g9-notebook-with-i7-processor-8-gb-ram-512-gb-ssd-14-inch-12th-gen-i129508715.html,HP 240 G9 Notebook With I7 Processor 8 GB RAM 512 GB SSD 14 Inch 12th Gen,"Rs. 92,896","Rs. 105,000",No Ratings,Silver
361,https://www.daraz.com.np/products/hp-victus-15-fb1013-gaming-amd-ryzen-5-7535hs-512gb-ssd-8gb-ram-win11nvidia-rtx-2050-4gb-156-19201080-144hz-mica-backlit-keyboard-i136721005.html,HP VICTUS 15-FB1013 GAMING AMD Ryzen™ 5 7535HS/ 512GB SSD/ 8GB Ram/ WIN11/NVIDIA® RTX 2050 (4GB)/ 15.6″ (1920×1080) 144Hz MICA Backlit Keyboard,"Rs. 93,799","Rs. 107,999",No Ratings,Matte Black
363,https://www.daraz.com.np/products/dell-inspiron-16-5620-i5-1235u-8gb-ram-512gb-ssd-16-led-full-hd-windows-11-i128488214.html,Dell Inspiron 16 5620 i5 1235U 8GB Ram 512GB SSD 16 LED Full HD+ Windows 11,"Rs. 101,490","Rs. 108,000",No Ratings,Silver
365,https://www.daraz.com.np/products/toshiba-terca-a40-celeron-dual-core-5205u4-4gbram-128gb-ssd-i114701019.html,Toshiba Terca A40 Celeron Dual Core 5205U4 4GBRAM 128GB SSD,"Rs. 38,999","Rs. 42,999",No Ratings,Graphite Black
366,https://www.daraz.com.np/products/acer-nitro-5-laptop-an515-58-97qp-new-intel-core-i9-12th-gen-12900h-16gb-ram-512ssd-nvidia-geforce-rtx-4060-8gb-graphics-156-fhd-display-144hz-dos-black-i135849067.html,Acer Nitro 5 Laptop AN515-58-97QP New Intel Core i9/ 12th Gen / 12900H/ 16GB RAM / 512SSD /NVIDIA GEFORCE RTX 4060 8GB GRAPHICS / 15.6 FHD DISPLAY /144HZ/ DOS/ Black,"Rs. 166,799","Rs. 192,560",No Ratings,Black
